CountryCode,ProjYear,p20,p80
UGA,2011,1.39368733054028,4.16324966598856
UKR,2011,7.86737612306828,15.8974631084511
ARE,2011,36.1777643615481,99.99940397351
GBR,2011,22.2898608282049,60.5722052449012
USA,2011,25.9482990178404,88.7200074815907
URY,2011,9.29239171748549,33.8341528828742
UZB,2011,1.6899097381381,4.29618907083029
VUT,2011,2.22831794553792,6.57654068217521
VEN,2011,3.98687686757456,16.5400095698336
VNM,2011,3.62050669677697,10.3737694134628
PSE,2011,5.6406397329235,15.0575717589532
YEM,2011,2.05178218434816,5.39020525904798
ZMB,2011,0.664903543895566,
ZWE,2011,1.84000199155624,6.4450821953602
ALB,2012,4.49327333735268,10.5148552018108
DZA,2012,4.97069297615087,10.8314903452211
AGO,2012,1.26156818692958,
ARG,2012,,
ARM,2012,3.72437660709788,8.3841205347596
AUS,2012,29.1862315627377,77.9062035151634
AUT,2012,,
AZE,2012,,22.6549765792057
BGD,2012,,4.64842547675613
BLR,2012,10.9617261852071,23.3114924476874
BEL,2012,28.9586956702931,
BLZ,2012,,11.3560611523336
BEN,2012,1.07920080854765,3.50587709798265
BTN,2012,3.5804220053079,10.5810257171672
BOL,2012,4.14358305170703,18.3340339946388
BIH,2012,,29.1871752300911
BWA,2012,2.14837652255895,11.6078301276869
BRA,2012,,24.6519908804899
BGR,2012,7.48167542638665,20.6021542066476
BFA,2012,,3.33645945534701
BDI,2012,0.804745029637028,2.1736124023439
CPV,2012,3.28837507886098,11.9498217219564
CMR,2012,1.46860200614686,5.96241703073986
CAN,2012,28.792323945318,78.148827526897
CAF,2012,0.742450822083475,3.42187389099775
TCD,2012,1.25205191019598,4.71839231973698
CHL,2012,7.67768328465524,
CHN,2012,,11.7602024146554
COL,2012,3.73036050382505,17.3189705282829
COM,2012,1.99019458543969,
COD,2012,,
COG,2012,1.18503729046923,5.103912459688
CRI,2012,,
CIV,2012,1.35007994001266,4.64780005544582
HRV,2012,9.15587890515844,24.8434908317785
CYP,2012,23.2783955638499,57.2982892413009
CZE,2012,17.1086679902893,
DNK,2012,31.5433031275719,
DJI,2012,2.05102688289846,7.34473151998377
DOM,2012,4.26087383476958,15.7775986161827
ECU,2012,4.41856904641388,17.9768892375133
EGY,2012,3.20518167013316,6.62166602184756
SLV,2012,3.69909207204662,12.008196524576
EST,2012,,33.2935195685339
SWZ,2012,1.39354024735925,
ETH,2012,1.52079566569324,3.60827152886709
FJI,2012,4.12683679248078,11.1940600020393
FIN,2012,30.4377270409406,64.8977357039195
FRA,2012,28.0475677993087,67.3515417027618
GAB,2012,3.38188348553668,11.9322404669398
GMB,2012,1.81125379266841,5.64763850464539
GEO,2012,2.83506624271604,9.01374013992265
DEU,2012,28.6080344812974,69.1308758814377
GHA,2012,,
GRC,2012,10.1925333144605,30.5185619976636
GTM,2012,2.78025136836175,11.4957930333071
GIN,2012,1.44332261338042,3.80083720579848
GNB,2012,99.99940397351,
GUY,2012,3.85656178154914,14.0740701053382
HTI,2012,1.67940430145577,5.72820163675111
HND,2012,,
HUN,2012,10.1768516025011,24.9544702536501
ISL,2012,27.7254135566363,59.1114909978453
IND,2012,,4.51793105571547
IDN,2012,,6.7627225053149
IRN,2012,,22.072325403348
IRQ,2012,3.5384378361876,
IRL,2012,21.669288500608,57.210711592476
ISR,2012,11.981198133121,46.8544854340693
ITA,2012,19.9305085916955,
JAM,2012,4.2588015078743,15.2264113603405
JPN,2012,25.6750903229808,61.0343645167182
JOR,2012,5.88463516151585,14.6059455045391
KAZ,2012,,16.0017207944713
KEN,2012,1.2998492017218,
KIR,2012,2.24602653199687,6.18392998107999
KOR,2012,21.1310934412091,52.9935875057145
XKX,2012,4.56111195160451,
KGZ,2012,,
LAO,2012,1.85426430588439,
LVA,2012,8.77926207088434,24.6267724651826
LBN,2012,13.297688886925,33.4311439011788
LSO,2012,1.32476348730492,6.07382796760941
LBR,2012,1.19714925101629,3.20549799083199
LTU,2012,9.7748690070836,26.9963797976007
LUX,2012,34.7450402857847,98.4153017929358
MDG,2012,99.99940397351,
MWI,2012,0.717518798184595,
MYS,2012,8.99283852419546,
MDV,2012,,16.0386590692726
MLI,2012,,23.614883593781
MLT,2012,21.3213495746861,49.2682898852467
MRT,2012,2.67404968842769,7.4342235691997
MUS,2012,,15.2226624077679
MEX,2012,3.88780593314384,13.5649014231807
FSM,2012,2.37207722218795,7.87626570584655
MDA,2012,5.1718967017032,11.7284652188542
MNG,2012,5.14513623458239,13.88957932981
MNE,2012,7.16714635612154,19.1139189285509
MAR,2012,4.42895114424486,12.6877386305167
MOZ,2012,0.754677256193392,2.7165006573646
MMR,2012,2.43397110977311,6.18419800002295
NAM,2012,,10.4778661790642
NPL,2012,2.36669038675353,5.96374947444313
NLD,2012,,
NIC,2012,3.41987264147875,11.9015892791489
NER,2012,1.33433200551806,
NGA,2012,,3.81949469641645
MKD,2012,3.94656161085951,13.9320873144008
NOR,2012,41.4668317404021,
PAK,2012,2.40680398926681,
PAN,2012,5.75071928937649,27.4734838160931
PNG,2012,1.27491525991964,4.6337119495581
PRY,2012,5.02023623599915,19.9618163128769
PER,2012,4.4046242510129,
PHL,2012,2.4402537988995,
POL,2012,8.75393674722082,22.1690546368604
PRT,2012,12.8472579744837,34.0527368229454
ROU,2012,5.63050654074473,12.9170641568794
RUS,2012,9.33581610376273,28.787976988728
RWA,2012,0.952891824478515,
WSM,2012,4.24766464388716,12.0767624179127
STP,2012,,
SEN,2012,1.35432152324406,
SRB,2012,5.23181603152308,
SYC,2012,8.57258008659469,23.5308128016645
SLE,2012,1.38766100360382,3.61246505286005
SVK,2012,13.8512955386791,
SVN,2012,21.0316697124068,42.6568352969154
SLB,2012,,4.8074647717403
ZAF,2012,2.09614625278412,14.4880752916877
SSD,2012,0.474569726232153,2.18218900927595
ESP,2012,17.1132769284212,50.3536986304682
LKA,2012,3.34906269559918,9.10879866834302
LCA,2012,5.65733589167108,24.9258430399232
SDN,2012,2.30763340057507,6.29446491295467
SUR,2012,2.212855046413,
SWE,2012,30.7384507993627,67.270086495633
CHE,2012,36.883466806584,92.2737067631514
SYR,2012,3.15744393462384,
TWN,2012,21.8989841190755,61.8077170659911
TJK,2012,,8.2682585008377
TZA,2012,1.20799800726627,3.25908160681616
THA,2012,6.3259366897824,19.926940564
TLS,2012,1.65086096885015,3.64760427209222
TGO,2012,0.894253447329303,3.70380266369197
TON,2012,4.57253675852181,13.2673013695767
TTO,2012,10.3820229030263,36.1049478667916
TUN,2012,4.84289004073317,
TUR,2012,,23.0056146089692
TKM,2012,2.9634057469392,9.73648756195461
TUV,2012,,
UGA,2012,,4.24454465810765
UKR,2012,8.11245013449484,16.75712075423
ARE,2012,31.5790314653985,
GBR,2012,22.1059246169273,
USA,2012,25.8163178242884,88.8226395191357
URY,2012,9.90284463615139,
UZB,2012,1.79044696554466,4.54721475324046
VUT,2012,2.23360686449614,6.603213203026
VEN,2012,,17.4151491791028
